roll_no,department,program,subject,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,debarred
UG/02/BCA/2022/004,cse,BCA,web-d,80.32,70.87,74.42,59.02,75.18,72.19,69.58,68.39,85.54,58.49,70.95,67.0,1
UG/02/BCA/2022/004,cse,BCA,dsa,68.06,72.05,77.27,68.02,79.94,70.36,73.73,73.12,72.16,73.17,84.33,76.03,1
UG/02/BCA/2022/005,cse,BCA,c,100.0,83.11,87.9,94.5,100.0,90.51,90.27,98.55,93.09,84.55,95.51,97.42,0
UG/02/BCA/2022/005,cse,BCA,math,92.96,89.92,100.0,93.45,100.0,97.33,91.03,82.14,75.84,95.87,79.05,93.44,0
UG/02/BCA/2022/005,cse,BCA,web-d,89.76,98.61,94.33,100.0,89.92,94.18,95.0,100.0,98.28,100.0,85.83,99.4,0
UG/02/BCA/2022/005,cse,BCA,dsa,94.68,90.66,92.55,94.16,93.34,85.11,82.79,86.63,100.0,96.93,83.13,83.42,0
UG/02/BCA/2022/006,cse,BCA,c,100.0,91.27,85.66,97.2,81.55,95.9,95.74,91.94,89.52,94.14,100.0,94.96,0
UG/02/BCA/2022/006,cse,BCA,math,97.4,84.35,85.18,91.08,100.0,97.75,94.61,94.45,89.93,97.33,87.01,90.53,0
UG/02/BCA/2022/006,cse,BCA,web-d,100.0,90.41,89.0,95.79,85.32,91.27,96.93,100.0,95.18,100.0,81.05,98.21,0
UG/02/BCA/2022/006,cse,BCA,dsa,99.75,83.49,90.31,99.24,84.84,96.53,94.58,100.0,100.0,92.33,95.15,100.0,0
UG/02/BCA/2022/007,cse,BCA,c,76.4,73.18,78.68,68.5,80.83,68.64,96.34,83.41,69.66,74.83,81.92,64.18,1
UG/02/BCA/2022/007,cse,BCA,math,68.77,82.95,83.8,77.93,66.73,71.59,80.19,67.7,73.03,78.15,61.73,67.44,1
UG/02/BCA/2022/007,cse,BCA,web-d,72.52,82.79,72.7,84.41,85.11,76.14,66.36,70.91,62.65,83.81,87.35,78.24,1
UG/02/BCA/2022/007,cse,BCA,dsa,75.19,77.5,62.51,70.06,86.13,83.07,65.52,67.04,64.93,67.46,64.81,87.63,1
UG/02/BCA/2022/008,cse,BCA,c,54.37,54.62,55.98,62.65,45.63,60.26,63.02,56.3,43.62,64.21,44.71,53.9,1
UG/02/BCA/2022/008,cse,BCA,math,52.11,44.47,37.72,62.43,64.79,55.87,53.17,65.34,44.02,66.92,57.39,73.08,1
UG/02/BCA/2022/008,cse,BCA,web-d,47.39,55.85,52.19,49.07,34.89,48.41,49.81,46.08,63.68,48.6,64.95,50.41,1
UG/02/BCA/2022/008,cse,BCA,dsa,47.38,62.14,43.47,52.37,57.63,43.0,42.55,64.1,38.76,48.42,51.68,70.31,1
UG/02/BCA/2022/009,cse,BCA,c,100.0,96.28,99.24,99.83,93.86,96.92,82.24,81.53,100.0,94.74,91.88,90.01,0
UG/02/BCA/2022/009,cse,BCA,math,100.0,96.24,83.88,92.83,89.36,100.0,91.68,99.4,79.97,100.0,99.45,73.61,0
UG/02/BCA/2022/009,cse,BCA,web-d,90.18,92.45,98.99,99.16,88.32,95.08,87.88,93.21,100.0,93.52,91.16,98.02,0
UG/02/BCA/2022/009,cse,BCA,dsa,98.18,98.4,93.15,94.87,88.83,87.97,89.15,87.45,93.11,88.63,84.18,100.0,0
UG/02/BCA/2022/010,cse,BCA,c,68.69,82.29,79.37,72.95,82.06,70.81,66.98,82.65,83.01,74.95,71.61,70.59,1
UG/02/BCA/2022/010,cse,BCA,math,66.55,65.66,58.44,74.7,73.85,72.8,71.12,71.34,79.4,64.36,76.17,78.18,1
UG/02/BCA/2022/010,cse,BCA,web-d,69.35,76.2,75.08,84.37,68.79,80.02,78.64,65.6,74.58,67.63,72.39,65.47,1
UG/02/BCA/2022/010,cse,BCA,dsa,79.68,68.32,76.73,88.93,78.83,82.13,84.45,70.37,84.23,81.35,81.63,73.02,1
UG/02/BCA/2022/011,cse,BCA,c,100.0,91.43,91.28,92.96,84.51,88.1,86.62,91.28,100.0,95.79,100.0,98.73,0
UG/02/BCA/2022/011,cse,BCA,math,87.47,90.04,93.91,80.38,81.05,96.09,95.53,84.96,89.22,92.4,100.0,83.16,0
UG/02/BCA/2022/011,cse,BCA,web-d,84.74,83.26,100.0,90.24,100.0,83.11,95.07,90.26,100.0,100.0,82.24,91.02,0
UG/02/BCA/2022/011,cse,BCA,dsa,95.71,100.0,95.2,80.94,86.25,80.58,91.02,95.37,100.0,91.71,94.12,92.9,0
UG/02/BCA/2022/012,cse,BCA,c,74.46,68.51,79.38,70.64,95.56,73.39,77.37,67.64,73.38,77.24,70.17,85.74,0
UG/02/BCA/2022/012,cse,BCA,math,81.0,67.35,74.92,77.1,66.59,78.01,61.16,77.32,74.39,79.04,78.62,76.19,0
UG/02/BCA/2022/012,cse,BCA,web-d,85.22,66.15,86.81,81.98,79.07,60.26,72.53,65.72,78.88,74.35,78.64,87.98,0
UG/02/BCA/2022/012,cse,BCA,dsa,69.77,71.87,87.97,66.65,79.42,70.9,66.82,84.92,67.16,68.31,77.28,86.31,0
UG/02/BCA/2022/013,cse,BCA,c,100.0,75.23,88.13,87.19,84.85,96.38,80.67,96.56,88.36,92.22,91.18,91.38,0
UG/02/BCA/2022/013,cse,BCA,math,100.0,86.85,84.94,90.65,93.4,86.85,100.0,100.0,96.19,84.43,92.16,91.16,0
UG/02/BCA/2022/013,cse,BCA,web-d,94.12,100.0,91.9,82.14,99.62,99.79,100.0,89.19,93.18,86.24,86.91,92.16,0
UG/02/BCA/2022/013,cse,BCA,dsa,88.23,96.46,91.22,94.75,93.69,99.34,100.0,87.98,90.06,84.79,99.5,98.52,0
UG/02/BCA/2022/014,cse,BCA,c,87.74,92.31,94.41,91.6,100.0,90.31,100.0,95.83,87.51,86.72,88.11,92.3,0
UG/02/BCA/2022/014,cse,BCA,math,97.51,87.0,96.13,89.13,92.0,92.5,88.81,98.74,95.75,85.02,77.85,81.46,0
UG/02/BCA/2022/014,cse,BCA,web-d,100.0,85.45,92.71,91.32,83.95,98.13,90.46,91.94,97.1,92.44,92.16,83.73,0
UG/02/BCA/2022/014,cse,BCA,dsa,81.54,89.03,94.59,91.82,94.23,97.45,94.24,94.06,92.03,84.11,89.17,89.59,0
UG/02/BCA/2022/015,cse,BCA,c,79.59,74.76,65.92,70.35,78.29,72.31,63.82,73.67,71.77,78.32,74.9,71.96,0
UG/02/BCA/2022/015,cse,BCA,math,81.27,63.11,85.63,60.4,63.34,74.98,82.15,71.15,75.99,80.65,74.29,84.13,0
UG/02/BCA/2022/015,cse,BCA,web-d,84.91,74.58,79.68,82.64,74.42,70.34,84.19,79.65,71.23,72.85,85.15,80.37,0
UG/02/BCA/2022/015,cse,BCA,dsa,65.01,78.08,87.21,78.06,86.1,62.83,73.62,65.99,67.99,85.51,97.03,67.52,0
UG/02/BCA/2022/016,cse,BCA,c,90.96,81.87,88.02,98.33,89.19,94.73,86.41,87.34,92.11,95.79,100.0,87.22,0
UG/02/BCA/2022/016,cse,BCA,math,90.16,91.74,99.55,100.0,93.76,100.0,91.17,95.2,87.53,96.71,88.25,94.85,0
UG/02/BCA/2022/016,cse,BCA,web-d,91.02,90.86,98.09,91.67,97.3,82.29,89.03,90.64,100.0,90.1,99.41,97.47,0
UG/02/BCA/2022/016,cse,BCA,dsa,93.54,87.7,98.38,89.15,91.07,100.0,85.16,93.78,86.47,96.23,84.74,100.0,0
UG/02/BCA/2022/017,cse,BCA,c,74.55,85.43,79.07,66.76,77.54,76.62,69.22,64.34,72.08,79.92,75.12,71.27,1
UG/02/BCA/2022/017,cse,BCA,math,70.43,76.02,66.6,69.71,75.34,64.85,81.77,86.38,62.64,67.49,66.41,90.29,1
UG/02/BCA/2022/017,cse,BCA,web-d,91.17,79.77,76.5,67.51,66.06,81.48,72.97,69.33,85.1,77.62,81.28,79.01,1
UG/02/BCA/2022/017,cse,BCA,dsa,74.57,81.77,71.97,89.55,70.57,75.06,66.81,81.69,75.96,63.7,71.84,73.47,1
UG/02/BCA/2022/018,cse,BCA,c,43.27,47.9,63.66,49.85,35.79,46.86,60.14,61.57,42.72,38.79,61.9,47.21,1
UG/02/BCA/2022/018,cse,BCA,math,62.48,42.24,45.99,32.92,49.49,40.08,62.73,41.29,37.87,63.7,68.37,64.69,1
UG/02/BCA/2022/018,cse,BCA,web-d,59.73,65.88,72.57,35.35,53.4,55.74,55.94,67.3,61.43,55.57,53.19,42.78,1
UG/02/BCA/2022/018,cse,BCA,dsa,40.7,53.98,57.92,36.06,61.0,62.43,56.48,61.91,52.7,54.22,62.65,64.79,1
UG/02/BCA/2022/019,cse,BCA,c,83.89,86.54,98.37,92.02,82.96,100.0,98.07,82.58,80.33,88.64,100.0,93.6,0
UG/02/BCA/2022/019,cse,BCA,math,100.0,94.7,89.14,96.33,90.45,100.0,89.6,96.74,92.65,92.33,98.39,97.32,0
UG/02/BCA/2022/019,cse,BCA,web-d,85.48,84.43,88.11,87.35,86.43,88.88,82.65,93.71,98.21,93.95,100.0,100.0,0
UG/02/BCA/2022/019,cse,BCA,dsa,94.17,90.28,90.39,85.0,100.0,80.21,88.54,96.31,89.32,86.24,93.96,90.11,0
UG/02/BCA/2022/020,cse,BCA,c,92.33,96.14,81.56,95.21,85.01,100.0,86.17,84.23,91.97,100.0,96.63,90.58,0
UG/02/BCA/2022/020,cse,BCA,math,91.34,100.0,88.61,74.78,96.92,94.95,94.01,90.28,88.47,86.81,93.82,83.34,0
UG/02/BCA/2022/020,cse,BCA,web-d,100.0,84.55,85.96,86.75,92.52,100.0,94.74,91.35,88.25,94.49,88.55,95.27,0
UG/02/BCA/2022/020,cse,BCA,dsa,100.0,93.23,98.92,98.15,100.0,90.02,95.37,98.01,84.05,85.51,92.7,95.01,0
UG/02/BCA/2022/021,cse,BCA,c,82.43,54.01,75.06,70.57,79.79,73.16,81.16,70.52,69.07,65.21,68.32,59.82,1
UG/02/BCA/2022/021,cse,BCA,math,68.61,76.23,76.88,77.29,62.14,76.14,70.28,87.0,82.48,69.99,78.14,68.62,1
UG/02/BCA/2022/021,cse,BCA,web-d,64.09,81.4,64.3,72.3,75.77,77.16,79.95,83.85,70.43,74.56,76.21,85.71,1
UG/02/BCA/2022/021,cse,BCA,dsa,92.45,76.34,78.58,78.78,69.53,73.51,76.52,82.4,76.33,91.34,77.21,77.36,1
UG/02/BCA/2022/022,cse,BCA,c,29.73,36.41,28.05,36.27,30.1,27.92,15.44,31.68,26.51,23.52,35.62,15.97,1
UG/02/BCA/2022/022,cse,BCA,math,21.27,32.25,28.95,28.47,43.55,22.53,35.06,33.22,42.14,40.28,44.98,36.99,1
UG/02/BCA/2022/022,cse,BCA,web-d,17.34,21.48,25.24,37.73,25.62,22.53,29.83,44.43,23.34,36.34,21.19,16.21,1
UG/02/BCA/2022/022,cse,BCA,dsa,39.79,40.43,28.33,20.53,33.51,31.49,22.3,38.6,41.47,38.44,27.45,28.88,1
UG/02/BCA/2022/023,cse,BCA,c,80.66,70.52,70.44,66.57,62.1,69.23,76.21,75.11,89.89,73.08,75.43,69.36,1
UG/02/BCA/2022/023,cse,BCA,math,76.36,70.07,61.61,83.67,61.82,81.89,74.88,70.59,85.2,73.37,73.53,82.96,1
UG/02/BCA/2022/023,cse,BCA,web-d,66.88,74.82,73.18,66.63,78.76,74.1,75.54,65.47,80.74,74.09,77.17,90.95,1
UG/02/BCA/2022/023,cse,BCA,dsa,89.75,73.5,79.92,80.16,88.16,64.82,59.89,69.79,91.3,62.4,73.87,73.71,1
UG/02/BCA/2022/024,cse,BCA,c,79.6,82.71,68.99,74.52,79.3,84.18,85.68,72.02,84.58,74.06,85.43,77.79,0
UG/02/BCA/2022/024,cse,BCA,math,66.82,67.38,56.28,66.17,70.94,65.07,90.75,79.92,67.34,70.88,95.3,84.56,0
UG/02/BCA/2022/024,cse,BCA,web-d,84.47,75.4,88.0,77.48,79.37,84.93,87.63,82.47,78.31,86.57,82.97,77.31,0
UG/02/BCA/2022/024,cse,BCA,dsa,90.49,73.31,86.94,73.19,68.77,66.06,78.44,81.93,68.91,68.35,65.79,76.75,0
UG/02/BCA/2022/025,cse,BCA,c,96.27,97.61,92.17,95.25,85.39,97.12,87.43,92.04,91.09,91.68,89.4,92.76,0
UG/02/BCA/2022/025,cse,BCA,math,91.72,87.11,83.57,86.87,85.37,91.71,95.67,92.54,100.0,91.98,92.85,100.0,0
UG/02/BCA/2022/025,cse,BCA,web-d,90.97,95.02,93.06,100.0,96.71,87.61,94.71,99.4,92.98,100.0,93.98,100.0,0
UG/02/BCA/2022/025,cse,BCA,dsa,93.53,95.17,100.0,98.94,93.26,87.14,95.62,87.63,96.98,92.96,100.0,86.23,0
UG/02/BCA/2022/026,cse,BCA,c,85.15,91.21,85.33,86.21,89.89,93.61,95.92,90.74,96.2,93.38,88.27,92.9,0
UG/02/BCA/2022/026,cse,BCA,math,91.0,87.54,93.83,98.03,100.0,100.0,100.0,87.34,98.8,78.5,89.88,100.0,0
UG/02/BCA/2022/026,cse,BCA,web-d,100.0,100.0,98.85,100.0,92.65,89.76,83.97,88.67,93.11,83.71,93.19,80.73,0
UG/02/BCA/2022/026,cse,BCA,dsa,81.12,93.11,88.23,99.68,86.49,92.62,96.16,90.12,82.89,99.75,92.37,84.93,0
UG/02/BCA/2022/027,cse,BCA,c,65.25,79.19,78.43,81.44,76.83,69.04,81.39,75.42,87.95,73.04,74.12,60.87,1
UG/02/BCA/2022/027,cse,BCA,math,70.94,81.95,63.75,77.47,63.17,74.63,74.22,84.24,71.02,72.24,73.9,74.12,1
UG/02/BCA/2022/027,cse,BCA,web-d,77.05,72.41,78.43,89.13,62.1,72.83,80.59,79.15,76.2,81.17,62.63,74.48,1
UG/02/BCA/2022/027,cse,BCA,dsa,86.73,70.67,64.19,80.85,84.74,71.69,64.44,59.56,78.6,82.83,84.38,74.67,1
UG/02/BCA/2022/028,cse,BCA,c,63.84,53.6,59.9,31.94,55.73,51.26,76.19,59.73,49.22,37.31,44.06,53.44,1
UG/02/BCA/2022/028,cse,BCA,math,57.7,38.25,55.71,47.74,38.27,43.21,50.62,65.14,36.41,45.26,51.79,39.91,1
UG/02/BCA/2022/028,cse,BCA,web-d,57.47,45.95,52.39,41.09,62.92,50.4,65.99,63.84,61.8,40.36,53.96,57.85,1
UG/02/BCA/2022/028,cse,BCA,dsa,64.22,59.78,58.94,40.08,47.61,56.15,40.06,50.89,44.01,42.44,51.88,33.48,1
UG/02/BCA/2022/029,cse,BCA,c,90.46,88.54,87.08,99.81,82.04,94.55,92.97,89.78,89.24,100.0,100.0,100.0,0
UG/02/BCA/2022/029,cse,BCA,math,86.56,82.39,95.21,79.72,91.59,98.49,88.59,81.62,88.64,100.0,96.84,97.64,0
UG/02/BCA/2022/029,cse,BCA,web-d,90.93,94.99,100.0,100.0,96.54,80.82,93.24,92.78,88.03,100.0,86.22,78.38,0
UG/02/BCA/2022/029,cse,BCA,dsa,85.7,85.37,91.1,98.4,92.26,88.73,89.67,94.47,86.39,95.55,97.56,100.0,0
UG/02/BCA/2022/030,cse,BCA,c,93.39,98.03,92.42,96.23,83.26,100.0,88.44,85.46,98.68,84.38,80.55,93.53,0
UG/02/BCA/2022/030,cse,BCA,math,90.63,100.0,97.78,95.02,83.12,87.31,100.0,88.86,91.71,82.89,87.42,90.84,0
UG/02/BCA/2022/030,cse,BCA,web-d,92.28,90.23,94.98,86.88,100.0,93.19,100.0,98.64,79.63,85.58,91.15,92.39,0
UG/02/BCA/2022/030,cse,BCA,dsa,94.28,95.54,95.35,93.78,97.15,90.87,100.0,87.37,98.32,90.73,88.64,94.12,0
UG/02/BCA/2022/031,cse,BCA,c,69.86,82.2,75.58,74.92,63.6,63.26,65.11,72.6,68.08,65.57,78.25,70.3,1
UG/02/BCA/2022/031,cse,BCA,math,82.09,74.26,74.13,84.49,59.87,78.22,68.45,66.75,79.91,72.5,81.05,79.19,1
UG/02/BCA/2022/031,cse,BCA,web-d,65.14,73.64,77.08,73.96,73.6,67.49,81.6,70.25,75.81,71.72,66.56,80.91,1
UG/02/BCA/2022/031,cse,BCA,dsa,79.62,72.99,82.62,79.19,68.79,81.07,82.82,66.91,81.61,82.4,69.35,58.38,1
UG/02/BCA/2022/032,cse,BCA,c,85.01,73.1,71.71,73.72,76.0,58.89,77.27,80.32,69.07,60.42,68.4,84.28,1
UG/02/BCA/2022/032,cse,BCA,math,73.6,75.89,77.12,84.25,66.75,66.39,66.16,64.61,76.5,66.78,80.62,72.51,1
UG/02/BCA/2022/032,cse,BCA,web-d,74.15,68.95,68.55,68.22,78.48,79.46,66.0,69.63,86.37,80.04,69.53,80.86,1
UG/02/BCA/2022/032,cse,BCA,dsa,65.61,72.62,72.5,71.12,68.51,84.27,78.38,74.96,82.28,77.62,72.99,72.13,1
UG/02/BCA/2022/033,cse,BCA,c,62.43,75.82,85.1,67.58,83.3,67.64,78.05,84.41,82.13,69.32,69.17,69.16,1
UG/02/BCA/2022/033,cse,BCA,math,72.4,68.77,82.07,73.36,68.48,67.97,71.07,84.35,76.87,72.42,66.87,73.7,1
UG/02/BCA/2022/033,cse,BCA,web-d,63.87,82.46,70.18,82.99,72.4,81.95,74.06,75.27,89.36,84.87,64.94,82.7,1
UG/02/BCA/2022/033,cse,BCA,dsa,63.22,74.35,80.18,69.77,70.61,74.04,73.73,80.36,74.36,74.74,77.39,69.64,1
UG/02/BCA/2022/034,cse,BCA,c,65.55,70.39,83.67,70.22,81.82,82.06,71.39,68.0,83.07,72.36,80.78,78.83,1
UG/02/BCA/2022/034,cse,BCA,math,72.12,77.2,73.44,78.87,72.5,71.2,72.94,57.96,81.11,80.68,61.18,68.39,1
UG/02/BCA/2022/034,cse,BCA,web-d,71.3,67.88,73.32,74.36,83.96,73.73,63.05,61.44,77.48,82.64,78.14,78.1,1
UG/02/BCA/2022/034,cse,BCA,dsa,66.11,62.56,76.86,79.52,82.55,89.88,82.69,75.55,66.13,76.08,80.25,75.91,1
UG/02/BCA/2022/035,cse,BCA,c,54.82,59.56,46.92,49.51,52.75,48.52,53.28,56.42,69.0,49.77,51.75,67.39,1
UG/02/BCA/2022/035,cse,BCA,math,43.29,44.11,42.94,58.49,50.95,40.3,61.86,44.64,36.55,61.65,55.52,60.11,1
UG/02/BCA/2022/035,cse,BCA,web-d,69.26,64.87,46.83,50.4,57.71,46.99,53.45,55.8,60.14,59.98,52.17,57.6,1
UG/02/BCA/2022/035,cse,BCA,dsa,47.09,46.57,61.63,55.82,57.98,57.83,49.7,60.23,55.61,70.03,52.21,62.55,1
UG/02/BCA/2022/036,cse,BCA,c,97.94,89.03,91.33,83.84,86.85,93.65,100.0,89.73,78.17,97.4,86.27,90.29,0
UG/02/BCA/2022/036,cse,BCA,math,91.1,87.28,94.96,89.78,81.32,84.93,81.57,92.36,99.89,88.77,96.38,94.85,0
UG/02/BCA/2022/036,cse,BCA,web-d,97.36,96.3,89.99,86.15,87.19,94.19,89.6,90.88,94.34,84.74,100.0,96.67,0
UG/02/BCA/2022/036,cse,BCA,dsa,95.24,85.39,90.16,90.66,94.68,84.11,94.14,97.35,93.04,88.83,90.02,99.56,0
UG/02/BCA/2022/037,cse,BCA,c,84.45,76.62,64.29,72.07,79.09,68.33,83.43,68.68,81.1,70.04,64.44,76.1,0
UG/02/BCA/2022/037,cse,BCA,math,83.44,81.63,85.76,85.25,83.54,66.79,66.48,70.44,80.9,82.49,93.71,84.95,0
UG/02/BCA/2022/037,cse,BCA,web-d,82.1,83.79,77.48,86.47,69.77,81.64,78.69,76.39,86.18,64.22,75.2,88.53,0
UG/02/BCA/2022/037,cse,BCA,dsa,65.94,76.1,69.46,60.95,76.97,76.48,86.92,72.67,64.74,71.85,74.19,77.95,0
UG/02/BCA/2022/038,cse,BCA,c,19.83,29.02,28.99,37.01,26.04,44.83,19.22,21.8,25.56,38.62,25.44,19.99,1
UG/02/BCA/2022/038,cse,BCA,math,35.89,26.1,38.93,29.92,26.08,38.62,41.87,27.32,17.29,22.81,22.63,41.15,1
UG/02/BCA/2022/038,cse,BCA,web-d,41.52,32.71,40.54,33.44,29.02,36.82,37.18,20.69,25.24,45.88,26.62,33.21,1
UG/02/BCA/2022/038,cse,BCA,dsa,39.15,27.92,36.38,37.86,35.91,45.21,21.8,39.12,34.74,22.34,42.7,31.64,1
UG/02/BCA/2022/039,cse,BCA,c,92.25,85.16,90.45,95.91,100.0,91.94,94.29,100.0,98.23,86.6,88.91,79.21,0
UG/02/BCA/2022/039,cse,BCA,math,87.89,92.17,95.9,95.64,91.4,100.0,98.02,78.64,90.83,90.19,95.1,100.0,0
UG/02/BCA/2022/039,cse,BCA,web-d,89.49,92.16,94.52,81.09,100.0,80.24,83.91,94.12,94.79,81.99,83.54,82.87,0
UG/02/BCA/2022/039,cse,BCA,dsa,93.87,97.81,91.44,86.94,100.0,95.79,86.5,87.84,89.37,89.46,91.26,79.55,0
UG/02/BCA/2022/040,cse,BCA,c,84.1,91.47,97.34,92.02,83.06,100.0,92.3,88.43,89.67,91.92,88.71,80.75,0
UG/02/BCA/2022/040,cse,BCA,math,96.8,86.66,91.17,85.83,97.35,83.28,84.86,100.0,100.0,94.57,95.93,91.43,0
UG/02/BCA/2022/040,cse,BCA,web-d,94.88,95.92,92.48,100.0,93.46,91.92,92.4,91.99,90.94,93.03,91.36,96.48,0
UG/02/BCA/2022/040,cse,BCA,dsa,89.93,92.35,91.45,91.28,93.79,96.89,93.79,92.47,100.0,83.18,87.51,90.16,0
UG/02/BCA/2022/041,cse,BCA,c,100.0,90.58,100.0,84.13,99.48,100.0,95.45,100.0,97.44,100.0,100.0,100.0,0
UG/02/BCA/2022/041,cse,BCA,math,89.36,93.04,81.3,94.9,100.0,82.21,84.06,92.46,100.0,78.95,94.05,100.0,0
UG/02/BCA/2022/041,cse,BCA,web-d,99.74,78.01,90.37,79.83,89.93,86.3,83.65,90.01,85.76,89.31,99.06,88.58,0
UG/02/BCA/2022/041,cse,BCA,dsa,96.19,86.69,85.47,83.77,100.0,85.38,83.7,94.22,81.42,86.29,91.41,89.43,0
UG/02/BCA/2022/042,cse,BCA,c,30.04,27.88,33.75,33.25,28.96,23.88,23.4,43.08,23.17,44.86,30.64,21.06,1
UG/02/BCA/2022/042,cse,BCA,math,25.27,25.65,28.39,36.13,28.24,29.18,39.48,28.24,34.82,26.66,24.75,35.16,1
UG/02/BCA/2022/042,cse,BCA,web-d,21.58,23.68,22.3,38.51,21.0,35.03,28.73,28.18,23.82,42.58,28.45,37.75,1
UG/02/BCA/2022/042,cse,BCA,dsa,25.56,50.96,24.03,28.44,40.12,32.06,42.74,31.14,33.19,15.59,33.4,38.47,1
UG/02/BCA/2022/043,cse,BCA,c,100.0,87.2,93.84,100.0,96.78,93.44,93.86,96.33,85.76,100.0,93.88,92.93,0
UG/02/BCA/2022/043,cse,BCA,math,94.79,92.92,80.62,94.31,98.28,95.09,100.0,100.0,83.36,96.85,90.37,87.11,0
UG/02/BCA/2022/043,cse,BCA,web-d,94.78,94.13,87.22,96.69,93.47,91.14,82.15,81.82,100.0,86.69,87.19,94.88,0
UG/02/BCA/2022/043,cse,BCA,dsa,97.97,90.05,80.11,89.45,98.64,84.07,92.07,87.85,79.4,100.0,82.21,93.23,0
UG/02/BCA/2022/044,cse,BCA,c,72.51,74.96,64.43,82.46,77.95,64.78,81.08,73.46,62.82,65.49,84.32,84.45,0
UG/02/BCA/2022/044,cse,BCA,math,71.59,89.2,69.61,60.43,71.92,85.81,71.65,73.58,59.24,73.2,81.04,79.4,0
UG/02/BCA/2022/044,cse,BCA,web-d,80.44,76.19,83.13,91.18,82.76,62.39,78.53,91.04,70.45,80.71,74.1,79.46,0
UG/02/BCA/2022/044,cse,BCA,dsa,71.39,66.34,66.7,89.05,91.72,72.06,70.05,89.57,77.23,88.65,78.31,67.51,0
UG/02/BCA/2022/045,cse,BCA,c,85.28,84.36,94.88,100.0,93.8,95.01,87.04,93.36,92.22,89.65,90.78,88.08,0
UG/02/BCA/2022/045,cse,BCA,math,97.85,85.45,85.77,93.55,88.81,96.31,90.46,89.11,83.22,79.92,93.03,84.45,0
UG/02/BCA/2022/045,cse,BCA,web-d,97.3,89.56,100.0,87.0,98.42,87.98,97.13,97.34,96.13,89.91,90.6,89.23,0
UG/02/BCA/2022/045,cse,BCA,dsa,99.68,100.0,88.37,91.12,100.0,97.82,97.42,84.1,92.01,100.0,91.51,98.68,0
UG/02/BCA/2022/046,cse,BCA,c,100.0,100.0,91.92,82.59,98.69,85.66,94.58,89.22,84.26,93.23,97.54,95.0,0
UG/02/BCA/2022/046,cse,BCA,math,96.28,92.97,100.0,93.36,100.0,90.69,99.51,91.55,95.53,87.37,86.74,86.43,0
UG/02/BCA/2022/046,cse,BCA,web-d,100.0,92.46,84.11,88.28,92.2,85.09,91.3,93.5,82.79,99.66,97.72,90.57,0
UG/02/BCA/2022/046,cse,BCA,dsa,94.76,92.11,94.1,98.62,100.0,99.45,78.45,94.47,100.0,100.0,82.03,84.23,0
UG/02/BCA/2022/047,cse,BCA,c,83.54,83.53,77.76,75.02,80.02,70.62,84.38,82.94,77.41,75.55,89.27,77.43,0
UG/02/BCA/2022/047,cse,BCA,math,79.32,67.04,78.68,73.83,75.31,81.79,65.72,54.89,81.48,80.53,87.68,83.72,0
